image_name,category,blur_type,spearman_severity_vs_prediction,increasing_step_fraction,prediction_range
706_img_.png,color,gaussian,0.7500000000000002,0.6666666666666666,0.012981414794921875
706_img_.png,color,motion,0.21428571428571433,0.6666666666666666,0.009400010108947754
872_img_.png,color,gaussian,-0.4642857142857144,0.6666666666666666,0.006096839904785156
872_img_.png,color,motion,0.7857142857142859,0.8333333333333334,0.00478363037109375
687_img_.png,color,gaussian,0.7500000000000002,0.6666666666666666,0.011020362377166748
687_img_.png,color,motion,1.0,1.0,0.013392508029937744
850_img_.png,color,gaussian,0.42857142857142866,0.6666666666666666,0.001995384693145752
850_img_.png,color,motion,-0.28571428571428575,0.3333333333333333,0.0020033717155456543
526_img_.png,color,gaussian,0.28571428571428575,0.6666666666666666,0.001991868019104004
526_img_.png,color,motion,-0.7142857142857144,0.3333333333333333,0.0017304420471191406
5830.png,blur,gaussian,-1.0,0.0,0.0022733211517333984
5830.png,blur,motion,-1.0,0.0,0.001725912094116211
5818.png,blur,gaussian,-1.0,0.0,0.0024282336235046387
5818.png,blur,motion,-1.0,0.0,0.001567542552947998
573_img_.png,blur,gaussian,0.6785714285714287,0.6666666666666666,0.007785022258758545
573_img_.png,blur,motion,-0.10714285714285716,0.5,0.007733285427093506
619_img_.png,blur,gaussian,0.5,0.5,0.003727853298187256
619_img_.png,blur,motion,0.14285714285714288,0.5,0.003427863121032715
12348.png,blur,gaussian,0.5714285714285715,0.6666666666666666,0.0028150081634521484
12348.png,blur,motion,-0.10714285714285716,0.5,0.0010315179824829102
573_img_.png,contrast,gaussian,0.6785714285714287,0.6666666666666666,0.007785022258758545
573_img_.png,contrast,motion,-0.10714285714285716,0.5,0.007733285427093506
231_img_.png,contrast,gaussian,0.8928571428571429,0.8333333333333334,0.010834991931915283
231_img_.png,contrast,motion,0.39285714285714296,0.5,0.010049581527709961
608_img_.png,contrast,gaussian,0.642857142857143,0.5,0.005971133708953857
608_img_.png,contrast,motion,0.7857142857142859,0.8333333333333334,0.0009367465972900391
627_img_.png,contrast,gaussian,-0.21428571428571433,0.3333333333333333,0.004613995552062988
627_img_.png,contrast,motion,-0.5357142857142858,0.3333333333333333,0.0009525418281555176
153_img_.png,contrast,gaussian,0.7142857142857144,0.5,0.0022462010383605957
153_img_.png,contrast,motion,0.0,0.5,0.0011186003684997559
231_img_.png,visibility,gaussian,0.8928571428571429,0.8333333333333334,0.010834991931915283
231_img_.png,visibility,motion,0.39285714285714296,0.5,0.010049581527709961
573_img_.png,visibility,gaussian,0.6785714285714287,0.6666666666666666,0.007785022258758545
573_img_.png,visibility,motion,-0.10714285714285716,0.5,0.007733285427093506
248_img_.png,visibility,gaussian,0.03571428571428572,0.6666666666666666,0.007241487503051758
248_img_.png,visibility,motion,1.0,1.0,0.006316244602203369
479_img_.png,visibility,gaussian,0.8928571428571429,0.8333333333333334,0.004339814186096191
479_img_.png,visibility,motion,-0.8928571428571429,0.16666666666666666,0.0017070770263671875
242_img_.png,visibility,gaussian,-0.21428571428571433,0.3333333333333333,0.005093753337860107
242_img_.png,visibility,motion,0.8928571428571429,0.8333333333333334,0.003839731216430664
687_img_.png,mixed,gaussian,0.7500000000000002,0.6666666666666666,0.011020362377166748
687_img_.png,mixed,motion,1.0,1.0,0.013392508029937744
406_img_.png,mixed,gaussian,-0.39285714285714296,0.5,0.0012888908386230469
406_img_.png,mixed,motion,0.5357142857142858,0.3333333333333333,0.0004718303680419922
382_img_.png,mixed,gaussian,-0.7142857142857144,0.16666666666666666,0.005330801010131836
382_img_.png,mixed,motion,-0.8571428571428573,0.3333333333333333,0.004374980926513672
872_img_.png,mixed,gaussian,-0.4642857142857144,0.6666666666666666,0.006096839904785156
872_img_.png,mixed,motion,0.7857142857142859,0.8333333333333334,0.00478363037109375
5830.png,mixed,gaussian,-1.0,0.0,0.0022733211517333984
5830.png,mixed,motion,-1.0,0.0,0.001725912094116211
499_img_.png,reference,gaussian,1.0,1.0,0.04288357496261597
499_img_.png,reference,motion,1.0,1.0,0.040284812450408936
304_img_.png,reference,gaussian,1.0,1.0,0.03931015729904175
304_img_.png,reference,motion,0.9642857142857145,0.8333333333333334,0.03764533996582031
177_img_.png,reference,gaussian,1.0,1.0,0.051974356174468994
177_img_.png,reference,motion,0.8928571428571429,0.8333333333333334,0.04339629411697388
511_img_.png,reference,gaussian,0.9642857142857145,0.8333333333333334,0.046942174434661865
511_img_.png,reference,motion,1.0,1.0,0.053491055965423584
866_img_.png,reference,gaussian,0.9642857142857145,0.8333333333333334,0.023669898509979248
866_img_.png,reference,motion,0.0,0.5,0.022851645946502686
